,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
565,LW,72,188,Iafallo Alex,25,Not Injured
566,LW,73,214,Imama Bokondji,22,Not Injured
567,G,73,212,Ingram Connor,22,Not Injured
568,D,73,207,Irwin Matt,31,Not Injured
569,D,74,200,Jacobs Josh,23,Not Injured
570,C,76,212,Jankowski Mark,24,Not Injured
571,C,73,195,Janmark Mattias,26,Not Injured
572,D,74,209,Jardine Sam,25,Not Injured
573,C,71,186,Jarnkrok Calle,27,Injured
574,D,75,201,Jaros Christian,23,Injured
575,G,74,194,Jarry Tristan,24,Not Injured
576,RW,73,172,Jasek Lukas,21,Not Injured
577,RW,74,216,Jaskin Dmitrij,26,Not Injured
578,LW,74,207,Jeannot Tanner,22,Not Injured
579,C,74,206,Jenner Boone,26,Injured
580,D,72,194,Jensen Nick,28,Not Injured
581,D,71,200,Jerabek Jakub,27,Not Injured
582,C,75,218,Johansen Ryan,26,Not Injured
583,LW,73,205,Johansson Marcus,28,Injured
584,D,76,225,Johns Stephen,27,Injured
585,LW,72,174,Johnson Adam,25,Not Injured
586,G,73,205,Johnson Cam,24,Not Injured
587,G,75,197,Johnson Chad,33,Injured
588,D,76,225,Johnson Erik,31,Injured
589,D,73,227,Johnson Jack,32,Not Injured
590,C,71,179,Johnson Luke,24,Not Injured
591,C,68,183,Johnson Tyler,28,Injured
592,LW,70,181,Johnsson Andreas,24,Injured
593,LW,77,235,Johnston Ross,25,Not Injured
594,D,72,193,Jokiharju Henri,20,Not Injured
595,LW,72,191,Jokinen Jussi,36,Not Injured
596,D,73,194,Jones Caleb,22,Not Injured
597,G,76,190,Jones Martin,29,Not Injured
598,LW,75,210,Jones Max,21,Not Injured
599,D,76,210,Jones Seth,24,Injured
600,RW,73,197,Jooris Josh,28,Not Injured
601,RW,73,190,Joseph Mathieu,22,Injured
602,D,73,201,Josi Roman,29,Not Injured
603,C,71,191,Jost Tyson,21,Injured
604,LW,74,188,Jurco Tomas,26,Not Injured
605,D,74,174,Juulsen Noah,22,Injured
606,C,72,192,Kadri Nazem,28,Injured
607,C,71,175,Kahun Dominik,24,Not Injured
608,C,74,194,Kamenev Vladislav,22,Injured
609,C,74,188,Kampf David,24,Injured
610,D,71,198,Kampfer Steven,30,Not Injured
611,LW,74,210,Kane Evander,27,Injured
612,RW,70,177,Kane Patrick,30,Not Injured
613,RW,73,192,Kapanen Kasperi,22,Injured
614,D,72,190,Karlsson Erik,29,Injured
615,C,72,180,Karlsson Melker,28,Injured
616,C,73,189,Karlsson William,26,Not Injured
617,RW,71,186,Kase Ondrej,23,Injured
618,G,75,194,Kaskisuo Kasimir,25,Not Injured
619,RW,75,211,Kassian Zack,28,Injured
620,LW,73,183,Katchouk Boris,21,Not Injured
621,D,72,195,Keeper Brady,23,Not Injured
622,D,73,192,Keith Duncan,35,Not Injured
623,RW,70,170,Keller Clayton,20,Not Injured
624,C,72,190,Kelly Chris,38,Not Injured
625,C,74,201,Kempe Adrian,22,Injured
626,RW,72,185,Kempe Mario,30,Injured
627,D,72,194,Kempny Michal,28,Injured
628,C,70,175,Kerfoot Alexander,24,Injured
629,C,72,185,Kero Tanner,26,Not Injured
630,C,74,206,Kesler Ryan,34,Injured
631,RW,72,202,Kessel Phil,31,Not Injured
632,RW,73,185,Kestner Josh,25,Not Injured
633,G,74,185,Keyser Kyle,20,Not Injured
634,LW,76,212,Khaira Jujhar,24,Injured
635,G,71,200,Khudobin Anton,33,Not Injured
636,G,74,201,Kielly Jake,22,Not Injured
637,LW,73,196,Killorn Alex,29,Not Injured
638,G,75,195,Kinkaid Keith,30,Not Injured
639,LW,75,183,Kirkland Justin,22,Not Injured
640,D,72,207,Kiselevich Bogdan,29,Injured
641,G,74,184,Kivlenieks Matiss,22,Not Injured
642,D,75,216,Klefbom Oscar,25,Injured
643,D,74,180,Klingberg John,26,Injured
644,RW,69,182,Kloos Justin,25,Not Injured
645,RW,74,195,Knight Corban,28,Injured
646,D,74,193,Koekkoek Slater,25,Not Injured
647,C,75,219,Koivu Mikko,36,Injured
648,RW,71,209,Komarov Leo,32,Not Injured
649,C,70,175,Konecny Travis,22,Not Injured
650,C,75,225,Kopitar Anze,31,Not Injured
651,G,73,185,Korenar Josef,21,Not Injured
652,G,75,182,Korpisalo Joonas,25,Not Injured
653,G,79,202,Koskinen Mikko,30,Not Injured
654,C,70,180,Kossila Kalle,26,Not Injured
655,RW,75,212,Kostin Klim,20,Not Injured
656,C,74,184,Kotkaniemi Jesperi,18,Not Injured
657,LW,75,222,Kovalchuk Ilya,36,Injured
658,RW,72,209,Kovar Jan,29,Not Injured
659,D,73,185,Kral Filip,19,Not Injured
660,LW,75,216,Kreider Chris,28,Injured
661,C,72,188,Krejci David,33,Not Injured
662,D,72,194,Kronwall Niklas,38,Not Injured
663,D,69,186,Krug Torey,28,Injured
664,C,72,186,Kruger Marcus,29,Injured
665,RW,71,178,Kucherov Nikita,26,Not Injured
666,G,77,215,Kuemper Darcy,29,Injured
667,LW,73,195,Kuffner Ryan,23,Not Injured
668,RW,71,185,Kuhlman Karson,23,Not Injured
669,RW,74,196,Kuhnhackl Tom,27,Not Injured
670,D,74,186,Kukan Dean,25,Not Injured
671,D,74,187,Kulak Brett,25,Not Injured
672,LW,73,228,Kulemin Nikolay,32,Not Injured
673,D,73,204,Kulikov Dmitry,28,Injured
674,C,72,195,Kunin Luke,21,Injured
675,LW,72,188,Kunitz Chris,39,Not Injured
676,C,73,195,Kuokkanen Janne,21,Not Injured
677,C,74,213,Kuraly Sean,26,Injured
678,C,74,204,Kuznetsov Evgeny,27,Injured
679,D,72,183,Kylington Oliver,22,Not Injured
680,C,72,175,Kyrou Jordan,21,Not Injured
681,C,74,208,L'Esperance Joel,23,Not Injured
682,RW,71,185,Labanc Kevin,23,Not Injured
683,RW,73,182,Laberge Pascal,21,Not Injured
684,LW,74,200,Laberge Samuel,22,Not Injured
685,D,72,197,LaBlanc Stefan,23,Not Injured
686,D,71,190,Labrie Hubert,27,Not Injured
687,G,76,187,Lack Eddie,31,Not Injured
688,LW,75,192,Ladd Andrew,33,Injured
689,D,74,200,LaDue Paul,26,Injured
690,C,73,195,Lafferty Sam,24,Not Injured
691,G,74,190,Lagace Maxime,26,Not Injured
692,RW,77,206,Laine Patrik,21,Not Injured
693,D,73,183,Lajoie Max,21,Not Injured
694,D,73,184,Lalonde Owen,19,Not Injured
695,RW,74,191,Lammikko Juho,23,Not Injured
696,LW,73,215,Landeskog Gabriel,26,Injured
697,LW,70,176,Lane Matt,25,Not Injured
698,G,74,185,Lankinen Kevin,24,Not Injured
699,RW,73,174,Lappin Nick,26,Not Injured
700,RW,73,198,Larkin Dylan,22,Injured
701,D,75,208,Larsson Adam,26,Not Injured
702,G,74,185,Larsson Filip,20,Not Injured
703,D,74,197,Larsson Jacob,22,Injured
704,C,71,198,Larsson Johan,26,Injured
705,D,75,221,Lashoff Brian,28,Not Injured
706,C,73,190,Laughton Scott,25,Not Injured
707,LW,73,172,Lauko Jakub,19,Not Injured
708,D,73,204,Lauzon Jeremy,22,Not Injured
709,C,72,209,Lazar Curtis,24,Not Injured
710,D,72,207,Leddy Nick,28,Not Injured
711,LW,75,231,Lee Anders,29,Not Injured
712,LW,72,177,Lehkonen Artturi,24,Not Injured
713,G,76,240,Lehner Robin,27,Injured
714,C,74,212,Lehtera Jori,31,Not Injured
715,G,76,209,Lehtonen Kari,35,Not Injured
716,LW,70,174,Leier Taylor,25,Not Injured
717,LW,70,179,Leipsic Brendan,25,Injured
718,LW,74,192,Leivo Josh,26,Injured
719,LW,73,210,Lemieux Brendan,23,Not Injured
720,D,72,201,Letang Kris,32,Injured
721,C,70,195,Letestu Mark,34,Not Injured
722,C,70,187,Lettieri Vinni,24,Not Injured
723,C,74,155,Letunov Maxim,23,Not Injured
724,D,72,194,Lewington Tyler,24,Not Injured
725,C,73,202,Lewis Trevor,32,Injured
726,RW,73,176,Lind Kole,20,Not Injured
727,C,73,202,Lindberg Oscar,27,Not Injured
728,RW,75,217,Lindberg Tobias,23,Not Injured
729,LW,73,191,Lindblom Oskar,22,Not Injured
730,D,75,215,Lindell Esa,25,Not Injured
731,G,74,190,Lindgren Charlie,25,Not Injured
732,D,72,165,Lindgren Jesper,22,Not Injured
733,D,72,201,Lindgren Ryan,21,Not Injured
734,D,71,191,Lindholm Anton,24,Not Injured
735,C,73,195,Lindholm Elias,24,Not Injured
736,D,75,211,Lindholm Hampus,25,Injured
737,C,72,183,Lindholm Par,27,Not Injured
738,C,72,165,Lipanov Alexei,19,Not Injured
739,C,72,191,Little Bryan,31,Not Injured
740,C,69,170,Lizotte Blake,21,Not Injured
741,LW,69,187,Lomberg Ryan,24,Not Injured
742,RW,69,170,Lorito Matt,29,Not Injured
743,D,73,205,Lovejoy Ben,35,Injured
744,C,77,210,Lowry Adam,26,Injured
745,LW,75,231,Lucic Milan,31,Injured
746,RW,74,196,Luff Matt,22,Not Injured
747,C,72,185,Lundestrom Isac,19,Not Injured
748,G,73,180,Lundqvist Henrik,37,Not Injured
749,G,75,215,Luongo Roberto,40,Injured
750,G,77,209,Luukkonen Ukko-Pekka,20,Not Injured
751,C,73,205,Lynch Kevin,28,Not Injured
752,G,73,198,Lyon Alex,26,Injured
753,D,74,201,Lyubushkin Ilya,25,Not Injured
754,D,72,173,Lyytinen Joonas,24,Not Injured
755,D,74,206,Maatta Olli,24,Injured
756,D,75,203,MacDermid Kurtis,25,Injured
757,D,73,204,MacDonald Andrew,32,Injured
758,D,72,208,MacDonald Jacob,26,Not Injured
759,LW,74,190,MacEachern Mackenzie,25,Not Injured
760,C,75,198,MacEwen Zack,22,Not Injured
761,C,71,177,MacKenzie Derek,38,Injured
762,C,72,205,MacKinnon Nathan,23,Not Injured
763,RW,76,207,Maenalanen Saku,25,Not Injured
764,C,70,190,Magwood Zach,21,Not Injured
765,D,73,192,Mahura Josh,21,Not Injured
766,D,71,179,Makar Cale,20,Not Injured
767,C,69,177,Malgin Denis,22,Injured
768,C,75,195,Malkin Evgeni,32,Injured
769,LW,74,207,Malone Brad,30,Not Injured
770,LW,72,197,Malone Sean,24,Not Injured
771,RW,74,201,Mamin Maxim,24,Not Injured
772,LW,70,184,Mangiapane Andrew,23,Not Injured
773,D,73,205,Manning Brandon,29,Not Injured
774,D,75,216,Manson Josh,27,Injured
775,RW,77,225,Mantha Anthony,24,Injured
776,LW,69,181,Marchand Brad,31,Injured
777,C,69,174,Marchessault Jonathan,28,Not Injured
778,D,77,213,Marincin Martin,27,Not Injured
779,RW,70,185,Markison Colin,26,Not Injured
780,G,78,206,Markstrom Jacob,29,Not Injured
781,C,74,218,Marleau Patrick,39,Not Injured
782,RW,72,175,Marner Mitchell,22,Not Injured
783,C,72,190,Marody Cooper,22,Not Injured
784,LW,75,225,Maroon Patrick,31,Injured
785,LW,68,162,Martel Danick,24,Not Injured
786,D,79,220,Martenet Chris,22,Not Injured
787,LW,75,220,Martin Matt,30,Injured
788,D,73,200,Martin Paul,38,Not Injured
789,D,73,209,Martinez Alec,31,Injured
790,LW,72,196,Martinook Jordan,26,Not Injured
791,C,75,229,Martinsen Andreas,29,Injured
792,LW,69,197,Mascherin Adam,21,Not Injured
793,D,74,189,Masin Dominik,23,Not Injured
794,G,76,210,Mason Steve,31,Not Injured
795,D,74,193,Matheson Michael,25,Not Injured
796,RW,74,220,Matteau Stefan,25,Not Injured
797,C,75,223,Matthews Auston,21,Injured
798,LW,76,231,Matthias Shawn,31,Not Injured
799,D,77,223,Mayfield Scott,26,Not Injured
800,G,76,187,Mazanec Marek,27,Not Injured
801,G,75,195,McAdam Eamon,24,Not Injured
802,D,72,208,McAvoy Charlie,21,Injured
803,D,73,210,McCabe Jake,25,Injured
804,C,73,185,McCann Jared,23,Injured
805,G,74,220,McCollum Thomas,29,Not Injured
806,C,71,185,McCormick Max,27,Injured
807,D,75,217,McCoshen Ian,23,Not Injured
808,C,73,193,McDavid Connor,22,Not Injured
809,D,73,215,McDonagh Ryan,30,Not Injured
810,G,74,203,McElhinney Curtis,36,Injured
811,D,74,203,McEneny Evan,25,Not Injured
812,LW,72,187,McGinn Brock,25,Not Injured
813,LW,73,205,McGinn Jamie,30,Injured
814,LW,73,178,McGregor Ryan,20,Not Injured
815,D,77,236,McIlrath Dylan,27,Not Injured
816,G,74,206,McIntyre Zane,26,Not Injured
817,D,73,194,McIsaac Jared,19,Not Injured
818,C,72,194,McKegg Greg,27,Not Injured
819,G,74,183,McKenna Mike,36,Not Injured
820,LW,74,205,McKenzie Curtis,28,Not Injured
821,LW,74,204,McLeod Cody,35,Injured
822,C,73,183,McLeod Michael,21,Not Injured
823,D,76,212,McNabb Brayden,28,Not Injured
824,G,73,212,McNiven Michael,21,Not Injured
825,D,76,210,McQuaid Adam,32,Injured
826,LW,73,194,Megan Wade,28,Not Injured
827,D,78,225,Megna Jaycob,26,Not Injured
828,C,73,194,Megna Jayson,29,Not Injured
829,RW,72,210,Meier Timo,22,Injured
830,RW,70,194,Merkley Nicholas,22,Not Injured
831,D,72,194,Mermis Dakota,25,Not Injured
832,D,75,205,Merrill Jon,27,Not Injured
833,LW,74,218,Mersch Michael,26,Not Injured
834,G,75,192,Merzlikins Elvis,25,Not Injured
835,D,69,183,Mete Victor,21,Injured
836,D,76,230,Methot Marc,34,Injured
837,D,75,210,Middleton Jacob,23,Not Injured
838,D,76,185,Mikkola Niko,23,Not Injured
839,LW,72,195,Milano Sonny,23,Not Injured
840,LW,72,197,Miletic Sam,22,Not Injured
841,D,73,196,Miller Colin,26,Injured
842,C,73,218,Miller J.T.,26,Injured
843,D,74,210,Miller Kevan,31,Injured
844,G,74,168,Miller Ryan,38,Injured
845,G,73,183,Milner Parker,28,Not Injured
846,G,73,174,Miska Hunter,23,Not Injured
847,C,71,186,Mitchell Torrey,34,Not Injured
848,RW,73,196,Mitchell Zack,26,Not Injured
849,C,72,209,Mittelstadt Casey,20,Injured
850,D,76,225,Moldenhauer Scott,25,Not Injured
851,C,71,171,Molino Griffen,25,Not Injured
852,C,74,200,Monahan Sean,24,Not Injured
853,G,75,195,Montembeault Samuel,22,Not Injured
854,D,72,192,Montour Brandon,25,Not Injured
855,G,74,201,Montoya Al,34,Not Injured
856,C,72,192,Moore Dominic,38,Not Injured
857,D,74,210,Moore John,28,Injured
858,RW,68,168,Moore Ryan,22,Not Injured
859,C,70,175,Moore Trevor,24,Not Injured
860,C,70,179,Morand Antoine,20,Not Injured
861,D,76,212,Moravcik Michal,24,Not Injured
862,D,78,202,Morin Samuel,23,Not Injured
863,G,75,170,Morrison Adam,28,Not Injured
864,D,72,195,Morrissey Josh,24,Injured
865,D,72,196,Morrow Joe,26,Not Injured
866,C,70,192,Motte Tyler,24,Injured
867,RW,73,194,Moy Tyler,23,Not Injured
868,G,73,190,Mrazek Petr,27,Injured
869,D,75,210,Mueller Mirco,24,Injured
870,D,76,212,Murphy Connor,26,Injured
871,D,71,185,Murphy Ryan,26,Not Injured
872,D,70,181,Murphy Trevor,23,Not Injured
873,G,76,178,Murray Matt,25,Injured
874,D,73,205,Murray Ryan,25,Injured
875,C,75,202,Musil Adam,22,Not Injured
876,D,75,213,Muzzin Jake,30,Not Injured
877,D,77,212,Myers Philippe,22,Not Injured
878,D,80,229,Myers Tyler,29,Injured
879,C,72,184,Namestnikov Vladislav,26,Injured
880,RW,76,211,Nash Rick,35,Not Injured
881,C,73,190,Nash Riley,30,Not Injured
882,C,74,192,Nattinen Julius,22,Not Injured
883,LW,75,212,Neal James,31,Injured
884,C,74,179,Necas Martin,20,Not Injured
885,G,72,198,Nedeljkovic Alex,23,Not Injured
886,C,75,212,Nelson Brock,27,Not Injured
887,D,73,183,Nelson Casey,26,Injured
888,D,75,219,Nemeth Patrik,27,Injured
889,D,70,187,Ness Aaron,29,Not Injured
890,G,73,209,Neuvirth Michal,31,Injured
891,RW,76,210,Nichushkin Valeri,24,Injured
892,RW,74,218,Niederreiter Nino,26,Not Injured
893,C,73,188,Nielsen Frans,35,Injured
894,G,74,209,Niemi Antti,35,Not Injured
895,LW,71,190,Nieto Matt,26,Injured
896,C,75,210,Nieves Boo,25,Not Injured
897,D,73,176,Niku Sami,22,Not Injured
898,G,78,232,Nilsson Anders,29,Injured
899,LW,70,180,Nilsson Jacob,25,Not Injured
900,D,73,203,Niskanen Matt,32,Injured
901,RW,73,205,Noesen Stefan,26,Injured
902,D,74,191,Nogier Nelson,23,Not Injured
903,C,75,219,Nolan Jordan,30,Not Injured
904,C,73,194,Nordstrom Joakim,27,Injured
905,D,71,192,Norell Robin,24,Not Injured
906,LW,75,210,Nosek Tomas,26,Injured
907,C,72,184,Nugent-Hopkins Ryan,26,Not Injured
908,D,76,221,Nurse Darnell,24,Not Injured
909,D,73,191,Nutivaara Markus,25,Not Injured
910,D,75,190,Nyberg John,22,Not Injured
911,LW,73,196,Nylander Alexander,21,Injured
912,RW,72,191,Nylander William,23,Not Injured
913,RW,71,184,Nyquist Gustav,29,Not Injured
914,C,74,202,O'Brien Jim,30,Not Injured
915,RW,71,180,O'Brien Zach,27,Not Injured
916,RW,72,175,O'Connor Logan,22,Not Injured
917,D,76,207,O'Gara Rob,25,Not Injured
918,D,73,190,O'Neill Will,31,Not Injured
919,C,70,185,O'Regan Danny,25,Not Injured
920,C,71,192,O'Reilly Cal,32,Not Injured
921,C,73,216,O'Reilly Ryan,28,Not Injured
922,D,72,191,Oduya Johnny,37,Not Injured
923,D,72,182,Oesterle Jordan,27,Injured
924,RW,72,220,Okposo Kyle,31,Injured
925,D,79,255,Oleksiak Jamie,26,Injured
926,D,72,190,Oleksy Steve,33,Not Injured
927,RW,74,209,Olivier Mathieu,22,Not Injured
928,D,75,195,Olofsson Gustav,24,Not Injured
929,RW,71,176,Olofsson Victor,23,Not Injured
930,RW,71,168,Olson Kyle,20,Not Injured
931,C,71,185,Olund Linus,22,Not Injured
932,G,73,192,Opilka Luke,22,Not Injured
933,D,71,212,Orlov Dmitry,27,Not Injured
934,D,75,217,Orpik Brooks,38,Injured
935,RW,71,195,Oshie T.J.,32,Injured
936,D,73,185,Ouellet Xavier,25,Not Injured
937,G,74,194,Ouellette Martin,27,Not Injured
938,LW,75,235,Ovechkin Alex,33,Not Injured
939,C,72,190,Overhardt Alex,22,Not Injured
940,D,74,210,Ozhiganov Igor,26,Not Injured
941,LW,75,206,Paajarvi Magnus,28,Injured
942,LW,74,206,Pacioretty Max,30,Injured
943,C,70,184,Pageau Jean-Gabriel,26,Injured
944,LW,72,188,Palat Ondrej,28,Injured
945,RW,71,185,Palmieri Kyle,28,Injured
946,LW,67,179,Palmu Petrus,21,Not Injured
947,LW,71,168,Panarin Artemi,27,Injured
948,RW,73,208,Panik Richard,28,Not Injured
949,C,73,198,Paquette Cedric,25,Injured
950,D,78,230,Parayko Colton,26,Not Injured
951,LW,71,193,Parise Zach,34,Injured
952,G,73,185,Parsons Tyler,21,Not Injured
953,G,75,215,Pasquale Edward,28,Not Injured
954,RW,72,194,Pastrnak David,23,Injured
955,D,75,223,Pateryn Greg,29,Not Injured
956,C,74,198,Patrick Nolan,20,Injured
957,LW,76,230,Paul Nicholas,24,Not Injured
958,G,75,212,Pavelec Ondrej,31,Not Injured
959,C,71,190,Pavelski Joe,34,Injured
960,RW,71,195,Payne Robbie,26,Not Injured
961,LW,73,201,Pearson Tanner,26,Not Injured
962,C,69,182,Peca Matthew,26,Not Injured
963,D,75,205,Peeke Andrew,21,Not Injured
964,RW,72,170,Pekar Matej,19,Not Injured
965,D,75,218,Pelech Adam,24,Not Injured
966,RW,75,235,Peluso Anthony,30,Not Injured
967,LW,75,211,Perlini Brendan,23,Injured
968,LW,70,188,Perreault Mathieu,31,Not Injured
969,LW,72,200,Perron David,31,Injured
970,RW,72,166,Perron Francis,23,Not Injured
971,RW,75,206,Perry Corey,34,Injured
972,C,73,205,Persson Carl,24,Not Injured
973,D,75,206,Pesce Brett,24,Injured
974,LW,69,179,Petan Nic,24,Not Injured
975,G,73,182,Petersen Cal,24,Not Injured
976,D,76,216,Petrovic Alex,27,Injured
977,D,75,197,Petry Jeff,31,Not Injured
978,C,74,176,Pettersson Elias,20,Injured
979,C,74,185,Pettersson Emil,25,Not Injured
980,D,75,177,Pettersson Marcus,23,Not Injured
981,D,76,222,Phaneuf Dion,34,Injured
982,LW,71,185,Phelan James,22,Not Injured
983,C,67,161,Phillips Matthew,21,Not Injured
984,G,73,175,Phinney Colton,26,Not Injured
985,RW,72,190,Piccinich J.J.,23,Not Injured
986,G,73,207,Pickard Calvin,27,Not Injured
987,LW,71,200,Pietila Blake,26,Not Injured
988,D,75,210,Pietrangelo Alex,29,Injured
989,D,71,191,Pilut Lawrence,23,Injured
990,D,72,186,Pionk Neal,23,Injured
991,C,72,186,Pirri Brandon,28,Injured
992,C,69,194,Pitlick Rem,22,Not Injured
993,C,74,200,Pitlick Tyler,27,Injured
994,C,71,193,Plekanec Tomas,36,Injured
995,LW,70,187,Plouffe Derian,24,Not Injured
996,LW,74,185,Poehling Ryan,20,Not Injured
997,LW,73,198,Poganski Austin,23,Not Injured
998,C,70,166,Point Brayden,23,Injured
999,D,74,240,Polak Roman,33,Not Injured
1000,RW,72,180,Pominville Jason,36,Not Injured
1001,LW,74,197,Pooley Scott,25,Not Injured
1002,D,75,210,Poolman Tucker,26,Not Injured
1003,LW,72,190,Porter Kevin,33,Not Injured
1004,C,74,195,Pospisil Kristian,23,Not Injured
1005,D,75,195,Postma Paul,30,Not Injured
1006,LW,75,200,Pouliot Benoit,32,Not Injured
1007,D,72,196,Pouliot Derrick,25,Not Injured
1008,G,75,215,Price Carey,31,Injured
1009,LW,71,193,Prince Shane,26,Not Injured
1010,D,74,201,Prosser Nate,33,Not Injured
1011,D,75,215,Prout Dalton,29,Not Injured
1012,D,73,201,Provorov Ivan,22,Not Injured
1013,D,71,180,Prow Ethan,26,Not Injured
1014,RW,74,191,Pu Cliff,21,Not Injured
1015,LW,74,168,Pucek Roman,19,Not Injured
1016,LW,74,204,Puempel Matthew,26,Not Injured
1017,RW,76,201,Puljujarvi Jesse,21,Injured
1018,D,74,217,Pulock Ryan,24,Not Injured
1019,C,71,185,Pyatt Tom,32,Not Injured
1020,D,74,192,Pyrochta Filip,23,Not Injured
1021,D,73,200,Pysyk Mark,27,Injured
1022,C,73,195,Quenneville John,23,Injured
1023,G,73,216,Quick Jonathan,33,Injured
1024,C,72,203,Quine Alan,26,Not Injured
1025,G,72,195,Raanta Antti,30,Injured
1026,G,73,186,Raaymakers Joseph,21,Not Injured
1027,RW,74,198,Raddysh Taylor,21,Not Injured
1028,LW,76,200,Radil Lukas,28,Injured
1029,LW,73,205,Radulov Alexander,33,Injured
1030,D,73,191,Rafferty Brogan,24,Not Injured
1031,LW,72,200,Raffl Michael,30,Injured
1032,C,73,202,Rakell Rickard,26,Injured
1033,RW,73,198,Randell Tyler,28,Not Injured
1034,RW,76,215,Rantanen Mikko,22,Not Injured
1035,G,75,176,Rask Tuukka,32,Injured
1036,C,74,200,Rask Victor,26,Injured
1037,C,78,221,Rasmussen Michael,20,Injured
1038,RW,72,183,Rattie Ty,26,Injured
1039,C,68,178,Rau Kyle,26,Not Injured
1040,RW,70,185,Read Matt,33,Not Injured
1041,RW,73,225,Reaves Ryan,32,Not Injured
1042,G,73,200,Redmond Angus,23,Not Injured
1043,D,74,212,Redmond Zach,30,Not Injured
1044,D,74,201,Regula Alec,18,Not Injured
1045,D,74,193,Reilly Mike,25,Not Injured
1046,G,74,220,Reimer James,31,Injured
1047,D,76,212,Reinhart Griffin,25,Not Injured
1048,RW,73,192,Reinhart Sam,23,Not Injured
1049,D,71,181,Reinke Mitch,23,Not Injured
1050,RW,70,165,Rempal Sheldon,23,Not Injured
1051,D,74,205,Renouf Dan,25,Not Injured
1052,C,70,176,Richard Anthony,22,Not Injured
1053,C,72,190,Richardson Brad,34,Injured
1054,RW,71,186,Rieder Tobias,26,Injured
1055,D,73,221,Rielly Morgan,25,Not Injured
1056,D,72,189,Riikola Juuso,25,Not Injured
1057,LW,70,192,Rinaldo Zac,29,Injured
1058,G,77,217,Rinne Pekka,36,Not Injured
1059,D,76,218,Ristolainen Rasmus,24,Not Injured
1060,RW,76,220,Ritchie Brett,26,Injured
1061,LW,74,234,Ritchie Nick,23,Injured
1062,G,75,206,Rittich David,26,Injured
1063,RW,77,235,Robinson Buddy,27,Not Injured
1064,LW,74,201,Robinson Eric,24,Not Injured
1065,G,74,176,Robson Mat,23,Not Injured
1066,G,74,169,Robson Matt,23,Not Injured
1067,RW,74,189,Rodewald Jack,25,Injured
1068,RW,71,185,Rodin Anton,28,Not Injured
1069,LW,71,182,Rodrigues Evan,25,Injured
1070,C,74,190,Rooney Kevin,26,Not Injured
1071,D,73,195,Rosen Calle,25,Not Injured
1072,C,73,182,Roslovic Jack,22,Not Injured
1073,LW,71,199,Roussel Antoine,29,Injured
1074,RW,74,206,Rowney Carter,30,Injured
1075,LW,69,170,Roy Kevin,26,Not Injured
1076,D,73,200,Roy Matt,24,Not Injured
1077,C,76,209,Roy Nicolas,22,Not Injured
1078,LW,72,189,Roykas Marthinsen Kristian,19,Not Injured
1079,D,76,215,Rubins Kristians,21,Not Injured
1080,D,71,191,Ruhwedel Chad,29,Injured
1081,D,70,170,Russell Kris,32,Injured
1082,RW,73,205,Russell Patrick,26,Not Injured
1083,RW,71,192,Rust Bryan,27,Injured
1084,D,75,200,Rutta Jan,28,Not Injured
1085,C,76,209,Ruzicka Adam,20,Not Injured
1086,RW,74,209,Ryan Bobby,32,Injured
1087,C,70,185,Ryan Derek,32,Not Injured
1088,D,71,185,Ryan Joakim,26,Not Injured
1089,LW,73,205,Rychel Kerby,24,Not Injured
1090,C,72,187,Rymsha Drake,20,Not Injured
1091,LW,73,206,Saad Brandon,26,Injured
1092,C,71,200,Saarela Aleksi,22,Not Injured
1093,RW,71,203,Salomaki Miikka,26,Injured
1094,G,74,205,Samsonov Ilya,22,Not Injured
1095,LW,76,207,Sanford Zach,24,Injured
1096,D,75,181,Sanheim Travis,23,Not Injured
1097,D,74,205,Santini Steve,24,Not Injured
1098,G,71,180,Saros Juuse,24,Not Injured
1099,G,73,205,Sateri Harri,29,Not Injured
1100,D,72,195,Sautner Ashton,25,Not Injured
1101,D,74,227,Savard David,28,Not Injured
1102,D,75,204,Sbisa Luca,29,Not Injured
1103,D,75,208,Scandella Marco,29,Injured
1104,D,73,180,Scarlett Reece,26,Not Injured
1105,C,72,192,Sceviour Colton,30,Injured
1106,C,74,204,Schaller Tim,28,Not Injured
1107,C,75,207,Scheifele Mark,26,Not Injured
1108,RW,73,200,Schenn Brayden,27,Injured
1109,D,74,229,Schenn Luke,29,Not Injured
1110,RW,73,192,Scherbak Nikita,23,Injured
1111,D,74,196,Schilling Cameron,30,Not Injured
1112,D,72,190,Schlemko David,32,Injured
1113,D,74,190,Schmaltz Jordan,25,Not Injured
1114,C,72,177,Schmaltz Nick,23,Injured
1115,G,76,168,Schmid Akira,19,Not Injured
1116,D,73,194,Schmidt Nate,27,Not Injured
1117,G,75,200,Schneider Cory,33,Injured
1118,C,69,170,Schroeder Jordan,28,Not Injured
1119,D,73,205,Schuldt Jimmy,24,Not Injured
1120,D,74,193,Schultz Justin,28,Injured
1121,LW,70,190,Schwartz Jaden,27,Injured
1122,G,76,184,Scott Ian,20,Not Injured
1123,D,75,220,Seabrook Brent,34,Injured
1124,C,72,205,Sedlak Lukas,26,Not Injured
1125,D,74,198,Seeler Nick,26,Injured
1126,C,73,200,Seguin Tyler,27,Not Injured
1127,D,72,199,Seidenberg Dennis,37,Not Injured
1128,D,72,200,Sekera Andrej,33,Injured
1129,LW,69,156,Seney Brett,23,Not Injured
